"label","center_sample_site","cell","name","ref_name","loc","bel","manhattan_dx","manhattan_dy"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6","LUT6","SLICE_X44Y39","SLICEL.A6LUT","1","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X44Y39","SLICEL.B6LUT","1","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.B6LUT","0","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.C6LUT","0","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.D6LUT","0","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.A6LUT","1","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.B6LUT","1","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.C6LUT","1","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.D6LUT","1","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","LUT6","SLICE_X47Y39","SLICEL.A6LUT","2","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.A6LUT","0","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6","LUT6","SLICE_X44Y39","SLICEL.A6LUT","1","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X44Y39","SLICEL.B6LUT","1","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.B6LUT","0","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.C6LUT","0","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6","LUT6","SLICE_X45Y39","SLICEL.D6LUT","0","0"
"sample_ro_local_all640_explore1","SLICE_X45Y39","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y39","SLICEM.A6LUT","1","0"
