label_a,label_b,group,name,loc_a,loc_b,bel_a,bel_b,loc_changed,bel_changed
sample_ro_local_data_ro4_original,sample_ro_local_data_ro4_explore1,data_ro,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6,SLICE_X44Y39,SLICE_X44Y39,SLICEL.A6LUT,SLICEL.A6LUT,False,False
sample_ro_local_data_ro4_original,sample_ro_local_data_ro4_explore1,data_ro,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,SLICE_X44Y39,SLICE_X44Y39,SLICEL.B6LUT,SLICEL.B6LUT,False,False
sample_ro_local_data_ro4_original,sample_ro_local_data_ro4_explore1,data_ro,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6,SLICE_X52Y42,SLICE_X52Y42,SLICEL.C6LUT,SLICEL.C6LUT,False,False
sample_ro_local_data_ro4_original,sample_ro_local_data_ro4_explore1,data_ro,u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,SLICE_X52Y42,SLICE_X52Y42,SLICEL.D6LUT,SLICEL.D6LUT,False,False
sample_ro_local_data_ro4_original,sample_ro_local_data_ro4_explore1,data_ro,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6,SLICE_X67Y63,SLICE_X67Y63,SLICEL.A6LUT,SLICEL.A6LUT,False,False
sample_ro_local_data_ro4_original,sample_ro_local_data_ro4_explore1,data_ro,u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,SLICE_X67Y63,SLICE_X67Y63,SLICEL.B6LUT,SLICEL.B6LUT,False,False
sample_ro_local_data_ro4_original,sample_ro_local_data_ro4_explore1,data_ro,u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/u_LUT6,SLICE_X66Y59,SLICE_X66Y59,SLICEM.C6LUT,SLICEM.C6LUT,False,False
sample_ro_local_data_ro4_original,sample_ro_local_data_ro4_explore1,data_ro,u_entropy_source/RO_NUM_LOOP[3].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,SLICE_X66Y59,SLICE_X66Y59,SLICEM.D6LUT,SLICEM.D6LUT,False,False
sample_ro_local_data_ro4_original,sample_ro_local_data_ro4_explore1,data_ro,u_entropy_source/RO_NUM_LOOP[4].RO_AND.u_LUT6_and2_1/u_LUT6,SLICE_X49Y41,SLICE_X49Y41,SLICEL.A6LUT,SLICEL.A6LUT,False,False
sample_ro_local_data_ro4_original,sample_ro_local_data_ro4_explore1,data_ro,u_entropy_source/RO_NUM_LOOP[4].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,SLICE_X49Y41,SLICE_X49Y41,SLICEL.B6LUT,SLICEL.B6LUT,False,False
sample_ro_local_data_ro4_original,sample_ro_local_data_ro4_explore1,data_ro,u_entropy_source/RO_NUM_LOOP[5].RO_AND.u_LUT6_and2_1/u_LUT6,SLICE_X67Y36,SLICE_X67Y36,SLICEL.C6LUT,SLICEL.C6LUT,False,False
sample_ro_local_data_ro4_original,sample_ro_local_data_ro4_explore1,data_ro,u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,SLICE_X67Y36,SLICE_X67Y36,SLICEL.D6LUT,SLICEL.D6LUT,False,False
