"label","net","group","driver_pins","load_pins","driver_cells","load_cells","fanout","route_status","pips_count","nodes_count","route"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","data_ro_net","u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/O u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","","u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1","","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1/out[0]","data_ro_net","","u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I0 u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1/out[0]","","u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[5].RO_STAGE_LOOP[0].u_LUT6_not1","2","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/GND/G","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6/I2 u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6/I3 u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6/I4 u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6/I5","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/GND","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6","5","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/en","data_ro_net","","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6/I0 u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/en","","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1","11","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/in0[0]","data_ro_net","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6/O u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/in0[0]","","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1","","2","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6/I1 u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/out[0]","","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/GND/G","u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I1 u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I2 u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I3 u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I4 u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I5","u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/GND","u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","6","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","data_ro_net","u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/O u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","","u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1","","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/out[0]","data_ro_net","","u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I0 u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/out[0]","","u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[6].RO_STAGE_LOOP[0].u_LUT6_not1","2","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/GND/G","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6/I2 u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6/I3 u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6/I4 u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6/I5","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/GND","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6","5","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/en","data_ro_net","","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6/I0 u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/en","","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1","11","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/in0[0]","data_ro_net","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6/O u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/in0[0]","","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1","","2","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6/I1 u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/out[0]","","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/GND/G","u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I1 u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I2 u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I3 u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I4 u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I5","u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/GND","u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6","6","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","data_ro_net","u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/O u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0]","","u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1","","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/out[0]","data_ro_net","","u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I0 u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/out[0]","","u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[7].RO_STAGE_LOOP[0].u_LUT6_not1","2","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/<const0>","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/GND/G","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6/I1 u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6/I2 u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6/I3 u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6/I4 u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6/I5","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/GND","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","6","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/in0[0]","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6/O u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/in0[0]","","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1","","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/out[0]","sample_ro_net","","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6/I0 u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/out[0]","","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/<const0>","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/GND/G","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6/I1 u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6/I2 u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6/I3 u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6/I4 u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6/I5","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/GND","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","6","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/in0[0]","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6/O u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/in0[0]","","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1","","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/out[0]","sample_ro_net","","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6/I0 u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/out[0]","","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/<const0>","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/GND/G","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6/I1 u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6/I2 u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6/I3 u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6/I4 u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6/I5","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/GND","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6","6","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/in0[0]","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6/O u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/in0[0]","","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1","","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/out[0]","sample_ro_net","","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6/I0 u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/out[0]","","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/<const0>","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/GND/G","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6/I1 u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6/I2 u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6/I3 u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6/I4 u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6/I5","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/GND","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6","6","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/in0[0]","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6/O u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/in0[0]","","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1","","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/out[0]","sample_ro_net","","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6/I0 u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/out[0]","","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/<const0>","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/GND/G","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6/I1 u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6/I2 u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6/I3 u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6/I4 u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6/I5","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/GND","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6","6","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/in0[0]","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6/O u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/in0[0]","","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1","","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/out[0]","sample_ro_net","","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6/I0 u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/out[0]","","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/<const0>","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/GND/G","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6/I1 u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6/I2 u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6/I3 u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6/I4 u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6/I5","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/GND","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6","6","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/in0[0]","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6/O u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/in0[0]","","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1","","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/out[0]","sample_ro_net","","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6/I0 u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/out[0]","","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/<const0>","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/GND/G","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6/I1 u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6/I2 u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6/I3 u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6/I4 u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6/I5","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/GND","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6","6","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/in0[0]","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6/O u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/in0[0]","","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1","","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/out[0]","sample_ro_net","","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6/I0 u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/out[0]","","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/<const0>","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/GND/G","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6/I1 u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6/I2 u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6/I3 u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6/I4 u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6/I5","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/GND","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","6","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/in0[0]","sample_ro_net","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6/O u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/in0[0]","","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1","","4","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/out[0]","sample_ro_net","","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6/I0 u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/out[0]","","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6 u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1","10","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/<const0>","sample_ro_net","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/GND/G","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6/I2 u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6/I3 u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6/I4 u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6/I5","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/GND","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","5","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/en","sample_ro_net","","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6/I0 u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/en","","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6 u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1","11","UNROUTED","0","0","{}"
"scompact_w4_sampled_bel_routes_placed","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/in0[0]","sample_ro_net","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6/O u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/in0[0]","","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6 u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1","","10","UNROUTED","0","0","{}"
