"mode","data_ro","warmup","p1","abs_bias","min_entropy","row_ones_std","worst_byte_bit","worst_x","worst_p1","label"
"all64","all","10","0.458617","0.041383","0.885278509","16.927737917","83.7","590","0.41","restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526.payload"
"data_ro","0","10","0.191877","0.308123","0.3073532","7.764397659","0.6","897","0.103","restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro0_1000x125_strict_20260526.payload"
"data_ro","1","10","0.518915","0.018915","0.946429855","6.529607569","1.3","632","0.368","restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro1_1000x125_strict_20260526.payload"
"data_ro","2","10","0.244002","0.255998","0.403545677","9.811014015","1.3","847","0.153","restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro2_1000x125_strict_20260526.payload"
"data_ro","3","10","0.671833","0.171833","0.573825433","11.445833784","2.5","804","0.804","restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro3_1000x125_strict_20260526.payload"
"data_ro","4","10","0.424639","0.075361","0.797460661","8.340304491","1.5","807","0.193","restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro4_1000x125_strict_20260526.payload"
"data_ro","5","10","0.409454","0.090546","0.759878654","6.594079466","0.6","806","0.194","restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro5_1000x125_strict_20260526.payload"
"data_ro","6","10","0.37538","0.12462","0.67894933","9.667347102","0.1","839","0.161","restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro6_1000x125_strict_20260526.payload"
"data_ro","7","10","0.549958","0.049958","0.86260665","7.478250865","1.2","644","0.644","restart_reduced_xor_random1_sampler_island_local_warmup10_data_ro7_1000x125_strict_20260526.payload"
"except_data_ro","0","10","0.50102","0.00102","0.9970599","15.99773734","12.5","571","0.571","restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro0_1000x125_strict_20260526.payload"
"except_data_ro","1","10","0.550312","0.050312","0.861678307","17.376727425","83.3","597","0.597","restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro1_1000x125_strict_20260526.payload"
"except_data_ro","2","10","0.499674","0.000326","0.999059669","16.104028192","121.7","557","0.557","restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro2_1000x125_strict_20260526.payload"
"except_data_ro","3","10","0.55393","0.05393","0.85222442","18.397801499","3.3","603","0.603","restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro3_1000x125_strict_20260526.payload"
"except_data_ro","4","10","0.520205","0.020205","0.942847829","15.844335739","68.5","570","0.57","restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro4_1000x125_strict_20260526.payload"
"except_data_ro","5","10","0.565521","0.065521","0.822347497","17.326441037","122.5","620","0.62","restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro5_1000x125_strict_20260526.payload"
"except_data_ro","6","10","0.501833","0.001833","0.994720751","15.984026745","111.3","556","0.556","restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro6_1000x125_strict_20260526.payload"
"except_data_ro","7","10","0.542602","0.042602","0.88203373","17.085654685","6.2","598","0.598","restart_reduced_xor_random1_sampler_island_local_warmup10_except_data_ro7_1000x125_strict_20260526.payload"
